item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,short,,final,6,0,As,19.040546417236328
critical,1,ambiguous,short,,final,6,1,the,3.442674398422241
critical,1,ambiguous,short,,final,6,2,professor,12.699251174926758
critical,1,ambiguous,short,,final,6,3,wrote,9.002317428588867
critical,1,ambiguous,short,,final,6,4,the,3.008529663085937
critical,1,ambiguous,short,,final,6,5,textbook,8.95096206665039
critical,1,ambiguous,short,,final,6,6,grew.,22.95907592773437
critical,1,ambiguous,short,,nonfinal,6,0,As,19.040546417236328
critical,1,ambiguous,short,,nonfinal,6,1,the,3.442674398422241
critical,1,ambiguous,short,,nonfinal,6,2,professor,12.699251174926758
critical,1,ambiguous,short,,nonfinal,6,3,wrote,9.002317428588867
critical,1,ambiguous,short,,nonfinal,6,4,the,3.008529663085937
critical,1,ambiguous,short,,nonfinal,6,5,textbook,8.95096206665039
critical,1,ambiguous,short,,nonfinal,6,6,grew,18.85072135925293
critical,1,ambiguous,short,,nonfinal,6,7,much,10.307709693908691
critical,1,ambiguous,short,,nonfinal,6,8,longer,5.737225532531738
critical,1,ambiguous,short,,nonfinal,6,9,than,2.801638603210449
critical,1,ambiguous,short,,nonfinal,6,10,expected.,4.207177042961121
critical,1,ambiguous,long,,final,8,0,As,19.040546417236328
critical,1,ambiguous,long,,final,8,1,the,3.442674398422241
critical,1,ambiguous,long,,final,8,2,professor,12.699251174926758
critical,1,ambiguous,long,,final,8,3,wrote,9.002317428588867
critical,1,ambiguous,long,,final,8,4,the,3.008529663085937
critical,1,ambiguous,long,,final,8,5,textbook,8.95096206665039
critical,1,ambiguous,long,,final,8,6,on,4.598851680755615
critical,1,ambiguous,long,,final,8,7,biology,10.192266464233398
critical,1,ambiguous,long,,final,8,8,grew.,23.076904296875
critical,1,ambiguous,long,,nonfinal,8,0,As,19.040546417236328
critical,1,ambiguous,long,,nonfinal,8,1,the,3.442674398422241
critical,1,ambiguous,long,,nonfinal,8,2,professor,12.699251174926758
critical,1,ambiguous,long,,nonfinal,8,3,wrote,9.002317428588867
critical,1,ambiguous,long,,nonfinal,8,4,the,3.008529663085937
critical,1,ambiguous,long,,nonfinal,8,5,textbook,8.95096206665039
critical,1,ambiguous,long,,nonfinal,8,6,on,4.598851680755615
critical,1,ambiguous,long,,nonfinal,8,7,biology,10.192266464233398
critical,1,ambiguous,long,,nonfinal,8,8,grew,17.355998992919922
critical,1,ambiguous,long,,nonfinal,8,9,much,10.46265697479248
critical,1,ambiguous,long,,nonfinal,8,10,longer,6.067434787750244
critical,1,ambiguous,long,,nonfinal,8,11,than,2.9001171588897705
critical,1,ambiguous,long,,nonfinal,8,12,expected.,4.321731209754944
critical,1,unambiguous,short,comma,final,6,0,As,19.040546417236328
critical,1,unambiguous,short,comma,final,6,1,the,3.442674398422241
critical,1,unambiguous,short,comma,final,6,2,professor,12.699251174926758
critical,1,unambiguous,short,comma,final,6,3,"wrote,",12.341466426849363
critical,1,unambiguous,short,comma,final,6,4,the,2.7402503490448
critical,1,unambiguous,short,comma,final,6,5,textbook,11.065428733825684
critical,1,unambiguous,short,comma,final,6,6,grew.,14.10271453857422
critical,1,unambiguous,short,comma,nonfinal,6,0,As,19.040546417236328
critical,1,unambiguous,short,comma,nonfinal,6,1,the,3.442674398422241
critical,1,unambiguous,short,comma,nonfinal,6,2,professor,12.699251174926758
critical,1,unambiguous,short,comma,nonfinal,6,3,"wrote,",12.341466426849363
critical,1,unambiguous,short,comma,nonfinal,6,4,the,2.7402503490448
critical,1,unambiguous,short,comma,nonfinal,6,5,textbook,11.065428733825684
critical,1,unambiguous,short,comma,nonfinal,6,6,grew,11.048162460327148
critical,1,unambiguous,short,comma,nonfinal,6,7,much,9.20482063293457
critical,1,unambiguous,short,comma,nonfinal,6,8,longer,4.940995216369629
critical,1,unambiguous,short,comma,nonfinal,6,9,than,3.543651580810547
critical,1,unambiguous,short,comma,nonfinal,6,10,expected.,4.261644780635834
critical,1,unambiguous,long,comma,final,8,0,As,19.040546417236328
critical,1,unambiguous,long,comma,final,8,1,the,3.442674398422241
critical,1,unambiguous,long,comma,final,8,2,professor,12.699251174926758
critical,1,unambiguous,long,comma,final,8,3,"wrote,",12.341466426849363
critical,1,unambiguous,long,comma,final,8,4,the,2.7402503490448
critical,1,unambiguous,long,comma,final,8,5,textbook,11.065428733825684
critical,1,unambiguous,long,comma,final,8,6,on,6.937932968139648
critical,1,unambiguous,long,comma,final,8,7,biology,9.696431159973145
critical,1,unambiguous,long,comma,final,8,8,grew.,12.673554182052612
critical,1,unambiguous,long,comma,nonfinal,8,0,As,19.040546417236328
critical,1,unambiguous,long,comma,nonfinal,8,1,the,3.442674398422241
critical,1,unambiguous,long,comma,nonfinal,8,2,professor,12.699251174926758
critical,1,unambiguous,long,comma,nonfinal,8,3,"wrote,",12.341466426849363
critical,1,unambiguous,long,comma,nonfinal,8,4,the,2.7402503490448
critical,1,unambiguous,long,comma,nonfinal,8,5,textbook,11.065428733825684
critical,1,unambiguous,long,comma,nonfinal,8,6,on,6.937932968139648
critical,1,unambiguous,long,comma,nonfinal,8,7,biology,9.696431159973145
critical,1,unambiguous,long,comma,nonfinal,8,8,grew,9.729340553283691
critical,1,unambiguous,long,comma,nonfinal,8,9,much,8.79001235961914
critical,1,unambiguous,long,comma,nonfinal,8,10,longer,4.617907524108887
critical,1,unambiguous,long,comma,nonfinal,8,11,than,4.033958911895752
critical,1,unambiguous,long,comma,nonfinal,8,12,expected.,4.503848552703857
critical,1,unambiguous,short,object,final,9,0,As,19.040546417236328
critical,1,unambiguous,short,object,final,9,1,the,3.442674398422241
critical,1,unambiguous,short,object,final,9,2,professor,12.699251174926758
critical,1,unambiguous,short,object,final,9,3,wrote,9.002317428588867
critical,1,unambiguous,short,object,final,9,4,the,3.008529663085937
critical,1,unambiguous,short,object,final,9,5,new,7.4896559715271
critical,1,unambiguous,short,object,final,9,6,chapter,6.965927600860596
critical,1,unambiguous,short,object,final,9,7,the,7.366528511047363
critical,1,unambiguous,short,object,final,9,8,textbook,11.498006820678713
