item_category,item,ambiguity,length,resolution,finality,sentence,critical_word_index,final_word_index
critical,1,ambiguous,long,,final,After the director finished filming the actors exhausted from the long day left.,12,12
critical,1,ambiguous,short,,final,After the director finished filming the actors left.,7,7
critical,1,unambiguous,long,comma,final,"After the director finished filming, the actors exhausted from the long day left.",12,12
critical,1,unambiguous,short,comma,final,"After the director finished filming, the actors left.",7,7
critical,1,unambiguous,long,object,final,After the director finished filming the final scene the actors exhausted from the long day left.,15,15
critical,1,unambiguous,short,object,final,After the director finished filming the final scene the actors left.,10,10
critical,1,ambiguous,long,,nonfinal,After the director finished filming the actors exhausted from the long day left to go home.,12,15
critical,1,ambiguous,short,,nonfinal,After the director finished filming the actors left to go home.,7,10
critical,1,unambiguous,long,comma,nonfinal,"After the director finished filming, the actors exhausted from the long day left to go home.",12,15
critical,1,unambiguous,short,comma,nonfinal,"After the director finished filming, the actors left to go home.",7,10
critical,1,unambiguous,long,object,nonfinal,After the director finished filming the final scene the actors exhausted from the long day left to go home.,15,18
critical,1,unambiguous,short,object,nonfinal,After the director finished filming the final scene the actors left to go home.,10,13
critical,2,ambiguous,long,,final,When the stern boss entered the office bustling with activity quieted.,10,10
critical,2,ambiguous,short,,final,When the stern boss entered the office quieted.,7,7
critical,2,unambiguous,long,comma,final,"When the stern boss entered, the office bustling with activity quieted.",10,10
critical,2,unambiguous,short,comma,final,"When the stern boss entered, the office quieted.",7,7
critical,2,unambiguous,long,object,final,When the stern boss entered the room the office bustling with activity quieted.,12,12
critical,2,unambiguous,short,object,final,When the stern boss entered the room the office quieted.,9,9
critical,2,ambiguous,long,,nonfinal,When the stern boss entered the office bustling with activity quieted down quickly.,10,12
critical,2,ambiguous,short,,nonfinal,When the stern boss entered the office quieted down quickly.,7,9
critical,2,unambiguous,long,comma,nonfinal,"When the stern boss entered, the office bustling with activity quieted down quickly.",10,12
critical,2,unambiguous,short,comma,nonfinal,"When the stern boss entered, the office quieted down quickly.",7,9
critical,2,unambiguous,long,object,nonfinal,When the stern boss entered the room the office bustling with activity quieted down quickly.,12,14
critical,2,unambiguous,short,object,nonfinal,When the stern boss entered the room the office quieted down quickly.,9,11
critical,3,ambiguous,long,,final,After the politician signed the bill increasing taxes passed.,8,8
critical,3,ambiguous,short,,final,After the politician signed the bill passed.,6,6
critical,3,unambiguous,long,comma,final,"After the politician signed, the bill increasing taxes passed.",8,8
critical,3,unambiguous,short,comma,final,"After the politician signed, the bill passed.",6,6
critical,3,unambiguous,long,object,final,After the politician signed the legislation the bill increasing taxes passed.,10,10
critical,3,unambiguous,short,object,final,After the politician signed the legislation the bill passed.,8,8
critical,3,ambiguous,long,,nonfinal,After the politician signed the bill increasing taxes passed unanimously without amendments.,8,11
critical,3,ambiguous,short,,nonfinal,After the politician signed the bill passed unanimously without amendments.,6,9
critical,3,unambiguous,long,comma,nonfinal,"After the politician signed, the bill increasing taxes passed unanimously without amendments.",8,11
critical,3,unambiguous,short,comma,nonfinal,"After the politician signed, the bill passed unanimously without amendments.",6,9
critical,3,unambiguous,long,object,nonfinal,After the politician signed the legislation the bill increasing taxes passed unanimously without amendments.,10,13
critical,3,unambiguous,short,object,nonfinal,After the politician signed the legislation the bill passed unanimously without amendments.,8,11
critical,4,ambiguous,long,,final,When the original members left the company that was recently acquired failed.,11,11
critical,4,ambiguous,short,,final,When the original members left the company failed.,7,7
critical,4,unambiguous,long,comma,final,"When the original members left, the company that was recently acquired failed.",11,11
critical,4,unambiguous,short,comma,final,"When the original members left, the company failed.",7,7
critical,4,unambiguous,long,object,final,When the original members left the engineering team the company that was recently acquired failed.,14,14
critical,4,unambiguous,short,object,final,When the original members left the engineering team the company failed.,10,10
critical,4,ambiguous,long,,nonfinal,When the original members left the company that was recently acquired failed to create a successful product.,11,16
critical,4,ambiguous,short,,nonfinal,When the original members left the company failed to create a successful product.,7,12
critical,4,unambiguous,long,comma,nonfinal,"When the original members left, the company that was recently acquired failed to create a successful product.",11,16
critical,4,unambiguous,short,comma,nonfinal,"When the original members left, the company failed to create a successful product.",7,12
critical,4,unambiguous,long,object,nonfinal,When the original members left the engineering team the company that was recently acquired failed to create a successful product.,14,19
critical,4,unambiguous,short,object,nonfinal,When the original members left the engineering team the company failed to create a successful product.,10,15
critical,5,ambiguous,long,,final,As the child showered the cat complaining loudly ran.,8,8
critical,5,ambiguous,short,,final,As the child showered the cat ran.,6,6
critical,5,unambiguous,long,comma,final,"As the child showered, the cat complaining loudly ran.",8,8
critical,5,unambiguous,short,comma,final,"As the child showered, the cat ran.",6,6
critical,5,unambiguous,long,object,final,As the child showered herself the cat complaining loudly ran.,9,9
critical,5,unambiguous,short,object,final,As the child showered herself the cat ran.,7,7
critical,5,ambiguous,long,,nonfinal,As the child showered the cat complaining loudly ran around the bathroom.,8,11
critical,5,ambiguous,short,,nonfinal,As the child showered the cat ran around the bathroom.,6,9
critical,5,unambiguous,long,comma,nonfinal,"As the child showered, the cat complaining loudly ran around the bathroom.",8,11
critical,5,unambiguous,short,comma,nonfinal,"As the child showered, the cat ran around the bathroom.",6,9
critical,5,unambiguous,long,object,nonfinal,As the child showered herself the cat complaining loudly ran around the bathroom.,9,12
critical,5,unambiguous,short,object,nonfinal,As the child showered herself the cat ran around the bathroom.,7,10
critical,6,ambiguous,long,,final,When the boy hid his toy from childhood fell.,8,8
critical,6,ambiguous,short,,final,When the boy hid his toy fell.,6,6
critical,6,unambiguous,long,comma,final,"When the boy hid, his toy from childhood fell.",8,8
critical,6,unambiguous,short,comma,final,"When the boy hid, his toy fell.",6,6
critical,6,unambiguous,long,object,final,When the boy hid himself his toy from childhood fell.,9,9
critical,6,unambiguous,short,object,final,When the boy hid himself his toy fell.,7,7
