item_category,item,ambiguity,length,resolution,finality,sentence,critical_word_index,final_word_index
critical,1,ambiguous,long,object,nonfinal,As the lifeguard watched the kids playing happily splashed each other with water.,8,12
critical,1,ambiguous,short,object,nonfinal,As the lifeguard watched the kids splashed each other with water.,6,10
critical,1,unambiguous,long,object,nonfinal,As the lifeguard watched the pool the kids playing happily splashed each other with water.,10,14
critical,1,unambiguous,short,object,nonfinal,As the lifeguard watched the pool the kids splashed each other with water.,8,12
critical,2,ambiguous,long,comma,nonfinal,Because the suspect changed the file with the evidence needed to be updated.,9,12
critical,2,ambiguous,short,comma,nonfinal,Because the suspect changed the file needed to be updated.,6,9
critical,2,unambiguous,long,comma,nonfinal,"Because the suspect changed, the file with the evidence needed to be updated.",9,12
critical,2,unambiguous,short,comma,nonfinal,"Because the suspect changed, the file needed to be updated.",6,9
critical,3,ambiguous,long,object,nonfinal,While the new chef cooked the stew with lamb and vegetables boiled over.,11,12
critical,3,ambiguous,short,object,nonfinal,While the new chef cooked the stew boiled over.,7,8
critical,3,unambiguous,long,object,nonfinal,While the new chef cooked the appetizers the stew with lamb and vegetables boiled over.,13,14
critical,3,unambiguous,short,object,nonfinal,While the new chef cooked the appetizers the stew boiled over.,9,10
critical,4,ambiguous,long,comma,nonfinal,As the child showered the cat complaining loudly ran around the room.,8,11
critical,4,ambiguous,short,comma,nonfinal,As the child showered the cat ran around the room.,6,9
critical,4,unambiguous,long,comma,nonfinal,"As the child showered, the cat complaining loudly ran around the room.",8,11
critical,4,unambiguous,short,comma,nonfinal,"As the child showered, the cat ran around the room.",6,9
critical,5,ambiguous,long,comma,final,When the family moved the vases made of porcelain broke.,9,9
critical,5,ambiguous,short,comma,final,When the family moved the vases broke.,6,6
critical,5,unambiguous,long,comma,final,"When the family moved, the vases made of porcelain broke.",9,9
critical,5,unambiguous,short,comma,final,"When the family moved, the vases broke.",6,6
critical,6,ambiguous,long,comma,nonfinal,After the new doctor left the operation on the brain appeared more likely to succeed.,10,14
critical,6,ambiguous,short,comma,nonfinal,After the new doctor left the operation appeared more likely to succeed.,7,11
critical,6,unambiguous,long,comma,nonfinal,"After the new doctor left, the operation on the brain appeared more likely to succeed.",10,14
critical,6,unambiguous,short,comma,nonfinal,"After the new doctor left, the operation appeared more likely to succeed.",7,11
critical,7,ambiguous,long,comma,final,While the mom dressed the baby she adored cried.,8,8
critical,7,ambiguous,short,comma,final,While the mom dressed the baby cried.,6,6
critical,7,unambiguous,long,comma,final,"While the mom dressed, the baby she adored cried.",8,8
critical,7,unambiguous,short,comma,final,"While the mom dressed, the baby cried.",6,6
critical,8,ambiguous,long,comma,nonfinal,As the crowd applauded the cast for the play came back on stage and waived.,9,14
critical,8,ambiguous,short,comma,nonfinal,As the crowd applauded the cast came back on stage and waived.,6,11
critical,8,unambiguous,long,comma,nonfinal,"As the crowd applauded, the cast for the play came back on stage and waived.",9,14
critical,8,unambiguous,short,comma,nonfinal,"As the crowd applauded, the cast came back on stage and waived.",6,11
critical,9,ambiguous,long,object,nonfinal,Because the mechanic stopped the truck leaking oil needed several more hours before it was ready.,8,15
critical,9,ambiguous,short,object,nonfinal,Because the mechanic stopped the truck needed several more hours before it was ready.,6,13
critical,9,unambiguous,long,object,nonfinal,Because the mechanic stopped the repairs the truck leaking oil needed several more hours before it was ready.,10,17
critical,9,unambiguous,short,object,nonfinal,Because the mechanic stopped the repairs the truck needed several more hours before it was ready.,8,15
critical,10,ambiguous,long,comma,nonfinal,When the boy hid his toy from childhood fell off the table.,8,11
critical,10,ambiguous,short,comma,nonfinal,When the boy hid his toy fell off the table.,6,9
critical,10,unambiguous,long,comma,nonfinal,"When the boy hid, his toy from childhood fell off the table.",8,11
critical,10,unambiguous,short,comma,nonfinal,"When the boy hid, his toy fell off the table.",6,9
critical,11,ambiguous,long,comma,final,Whenever the wildlife documentary crew tries to film the bear hunting cautiously leaves.,12,12
critical,11,ambiguous,short,comma,final,Whenever the wildlife documentary crew tries to film the bear leaves.,10,10
critical,11,unambiguous,long,comma,final,"Whenever the wildlife documentary crew tries to film, the bear hunting cautiously leaves.",12,12
critical,11,unambiguous,short,comma,final,"Whenever the wildlife documentary crew tries to film, the bear leaves.",10,10
critical,12,ambiguous,long,object,nonfinal,After the tutor explained the problem for extra credit was no longer difficult for the student.,9,15
critical,12,ambiguous,short,object,nonfinal,After the tutor explained the problem was no longer difficult for the student.,6,12
critical,12,unambiguous,long,object,nonfinal,After the tutor explained the concepts the problem for extra credit was no longer difficult for the student.,11,17
critical,12,unambiguous,short,object,nonfinal,After the tutor explained the concepts the problem was no longer difficult for the student.,8,14
critical,13,ambiguous,long,object,final,When the original members left the company that was recently acquired failed.,11,11
critical,13,ambiguous,short,object,final,When the original members left the company failed.,7,7
critical,13,unambiguous,long,object,final,When the original members left the engineering team the company that was recently acquired failed.,14,14
critical,13,unambiguous,short,object,final,When the original members left the engineering team the company failed.,10,10
critical,14,ambiguous,long,object,nonfinal,Because the student left the backpack he just bought was put in lost and found.,9,14
critical,14,ambiguous,short,object,nonfinal,Because the student left the backpack was put in lost and found.,6,11
critical,14,unambiguous,long,object,nonfinal,Because the student left the room the backpack he just bought was put in lost and found.,11,16
critical,14,unambiguous,short,object,nonfinal,Because the student left the room the backpack was put in lost and found.,8,13
critical,15,ambiguous,long,object,nonfinal,Once the new assistant started the job as an executive manager became much easier for her boss.,11,16
critical,15,ambiguous,short,object,nonfinal,Once the new assistant started the job became much easier for her boss.,7,12
critical,15,unambiguous,long,object,nonfinal,Once the new assistant started work the job as an executive manager became much easier for her boss.,12,17
critical,15,unambiguous,short,object,nonfinal,Once the new assistant started work the job became much easier for her boss.,8,13
critical,16,ambiguous,long,object,nonfinal,When the magician tried to juggle the torches burning dangerously fell down.,10,11
critical,16,ambiguous,short,object,nonfinal,When the magician tried to juggle the torches fell down.,8,9
critical,16,unambiguous,long,object,nonfinal,When the magician tried to juggle more items the torches burning dangerously fell down.,12,13
critical,16,unambiguous,short,object,nonfinal,When the magician tried to juggle more items the torches fell down.,10,11
critical,17,ambiguous,long,comma,nonfinal,When the marathon runner finally stopped his friend sweating profusely collapsed from exhaustion.,10,12
critical,17,ambiguous,short,comma,nonfinal,When the marathon runner finally stopped his friend collapsed from exhaustion.,8,10
critical,17,unambiguous,long,comma,nonfinal,"When the marathon runner finally stopped, his friend sweating profusely collapsed from exhaustion.",10,12
critical,17,unambiguous,short,comma,nonfinal,"When the marathon runner finally stopped, his friend collapsed from exhaustion.",8,10
critical,18,ambiguous,long,comma,nonfinal,While the martial artists fought the spectator cheering enthusiastically supported the underdog.,9,11
critical,18,ambiguous,short,comma,nonfinal,While the martial artists fought the spectator supported the underdog.,7,9
critical,18,unambiguous,long,comma,nonfinal,"While the martial artists fought, the spectator cheering enthusiastically supported the underdog.",9,11
critical,18,unambiguous,short,comma,nonfinal,"While the martial artists fought, the spectator supported the underdog.",7,9
critical,19,ambiguous,long,object,final,When the band left the venue with live music closed.,9,9
critical,19,ambiguous,short,object,final,When the band left the venue closed.,6,6
critical,19,unambiguous,long,object,final,When the band left the stage the venue with live music closed.,11,11
critical,19,unambiguous,short,object,final,When the band left the stage the venue closed.,8,8
critical,20,ambiguous,long,comma,nonfinal,After the customer emailed the company providing phone service responded quickly.,9,10
critical,20,ambiguous,short,comma,nonfinal,After the customer emailed the company responded quickly.,6,7
critical,20,unambiguous,long,comma,nonfinal,"After the customer emailed, the company providing phone service responded quickly.",9,10
critical,20,unambiguous,short,comma,nonfinal,"After the customer emailed, the company responded quickly.",6,7
critical,21,ambiguous,long,object,nonfinal,As the detective investigated the case about the bank robbery became more complex.,10,12
critical,21,ambiguous,short,object,nonfinal,As the detective investigated the case became more complex.,6,8
critical,21,unambiguous,long,object,nonfinal,As the detective investigated the suspects the case about the bank robbery became more complex.,12,14
critical,21,unambiguous,short,object,nonfinal,As the detective investigated the suspects the case became more complex.,8,10
critical,22,ambiguous,long,object,nonfinal,Although the team lost the championship in basketball was still a great experience for the players.,8,15
